Locations,Total_Transactions_Locationwise,Total_Amount,Quarter,Year,State
spsr nellore district,780454,1542057934,2,2018,andhra-pradesh
vizianagaram district,529588,811711367.5,2,2018,andhra-pradesh
visakhapatnam district,1641192,2987853607,2,2018,andhra-pradesh
prakasam district,739991,1571167562,2,2018,andhra-pradesh
anantapur district,937023,1690366079,2,2018,andhra-pradesh
ysr district,690842,1415500368,2,2018,andhra-pradesh
west godavari district,786033,1688025212,2,2018,andhra-pradesh
kurnool district,968439,1531888666,2,2018,andhra-pradesh
chittoor district,1185723,1990419126,2,2018,andhra-pradesh
guntur district,1088101,2108475812,2,2018,andhra-pradesh
krishna district,1224987,2448141593,2,2018,andhra-pradesh
east godavari district,3226907,3551247095,3,2018,andhra-pradesh
srikakulam district,1073883,1318322237,3,2018,andhra-pradesh
spsr nellore district,1308890,2215938596,3,2018,andhra-pradesh
vizianagaram district,970132,1163546007,3,2018,andhra-pradesh
visakhapatnam district,3394576,4821892253,3,2018,andhra-pradesh
prakasam district,1319651,2346453445,3,2018,andhra-pradesh
anantapur district,1815215,2681787750,3,2018,andhra-pradesh
ysr district,1557444,2235904512,3,2018,andhra-pradesh
west godavari district,1431282,2309078493,3,2018,andhra-pradesh
kurnool district,2921189,2908389262,3,2018,andhra-pradesh
chittoor district,2297429,3283517631,3,2018,andhra-pradesh
guntur district,1912529,3127764663,3,2018,andhra-pradesh
krishna district,2396934,3754202654,3,2018,andhra-pradesh
east godavari district,3052762,4652624623,4,2018,andhra-pradesh
srikakulam district,1252807,1870278610,4,2018,andhra-pradesh
spsr nellore district,1814997,3293448557,4,2018,andhra-pradesh
vizianagaram district,1386787,1817673253,4,2018,andhra-pradesh
visakhapatnam district,4791421,7366635865,4,2018,andhra-pradesh
prakasam district,1692862,3255254226,4,2018,andhra-pradesh
anantapur district,2286391,3975878156,4,2018,andhra-pradesh
ysr district,1732527,3252340063,4,2018,andhra-pradesh
west godavari district,1688482,3237504255,4,2018,andhra-pradesh
kurnool district,2508530,3626544852,4,2018,andhra-pradesh
chittoor district,3166201,4979093890,4,2018,andhra-pradesh
guntur district,2546620,4730251218,4,2018,andhra-pradesh
krishna district,2839161,5416251838,4,2018,andhra-pradesh
east godavari district,5440146,7382264725,1,2019,andhra-pradesh
srikakulam district,2526855,3407912878,1,2019,andhra-pradesh
spsr nellore district,3333584,5161932216,1,2019,andhra-pradesh
vizianagaram district,2798241,3364576948,1,2019,andhra-pradesh
visakhapatnam district,9690866,13459857441,1,2019,andhra-pradesh
prakasam district,2931081,4807527779,1,2019,andhra-pradesh
anantapur district,3891336,6044730653,1,2019,andhra-pradesh
ysr district,2852197,4915811594,1,2019,andhra-pradesh
west godavari district,2829437,4623764455,1,2019,andhra-pradesh
kurnool district,4193432,5541564893,1,2019,andhra-pradesh
chittoor district,6486813,8223371732,1,2019,andhra-pradesh
guntur district,4846553,7765934169,1,2019,andhra-pradesh
krishna district,5443981,9061346433,1,2019,andhra-pradesh
east godavari district,4699261,9116404622,2,2019,andhra-pradesh
srikakulam district,2019203,4066576540,2,2019,andhra-pradesh
spsr nellore district,3141891,6880873007,2,2019,andhra-pradesh
vizianagaram district,2272320,4443041665,2,2019,andhra-pradesh
visakhapatnam district,11705738,20797479804,2,2019,andhra-pradesh
prakasam district,2670529,6262396448,2,2019,andhra-pradesh
anantapur district,3578836,7830782361,2,2019,andhra-pradesh
ysr district,2606284,6376856828,2,2019,andhra-pradesh
west godavari district,2402074,5676818259,2,2019,andhra-pradesh
kurnool district,3895824,7358285187,2,2019,andhra-pradesh
chittoor district,5983308,10982727976,2,2019,andhra-pradesh
guntur district,5005275,10405246943,2,2019,andhra-pradesh
krishna district,6428472,13437029116,2,2019,andhra-pradesh
east godavari district,6537303,11387726471,3,2019,andhra-pradesh
srikakulam district,2556296,4610131290,3,2019,andhra-pradesh
spsr nellore district,4150195,8256600119,3,2019,andhra-pradesh
vizianagaram district,2861581,4922069039,3,2019,andhra-pradesh
visakhapatnam district,16694947,26944837120,3,2019,andhra-pradesh
prakasam district,3430750,7354502261,3,2019,andhra-pradesh
anantapur district,4889720,9554081289,3,2019,andhra-pradesh
ysr district,3296586,7447544274,3,2019,andhra-pradesh
west godavari district,3179541,6627629029,3,2019,andhra-pradesh
kurnool district,5139134,9025632779,3,2019,andhra-pradesh
chittoor district,8201783,13837455759,3,2019,andhra-pradesh
guntur district,6942304,13075661264,3,2019,andhra-pradesh
krishna district,8408474,16404073561,3,2019,andhra-pradesh
east godavari district,9285739,16816774065,4,2019,andhra-pradesh
srikakulam district,3712555,6832369302,4,2019,andhra-pradesh
spsr nellore district,5877804,11786014089,4,2019,andhra-pradesh
vizianagaram district,3998234,7175851807,4,2019,andhra-pradesh
visakhapatnam district,23594874,39133296330,4,2019,andhra-pradesh
prakasam district,4865473,10604077825,4,2019,andhra-pradesh
anantapur district,6764112,13887248889,4,2019,andhra-pradesh
ysr district,4793157,10865073856,4,2019,andhra-pradesh
west godavari district,4596479,9710614747,4,2019,andhra-pradesh
kurnool district,7001958,13233105729,4,2019,andhra-pradesh
chittoor district,11246986,19298476028,4,2019,andhra-pradesh
guntur district,9761330,18565626418,4,2019,andhra-pradesh
krishna district,11719402,23039786404,4,2019,andhra-pradesh
east godavari district,11346242,21854701379,1,2020,andhra-pradesh
srikakulam district,4835092,9777575594,1,2020,andhra-pradesh
spsr nellore district,7430247,15387829694,1,2020,andhra-pradesh
vizianagaram district,5042066,9879174241,1,2020,andhra-pradesh
visakhapatnam district,27115031,48809747615,1,2020,andhra-pradesh
prakasam district,6318396,14169104765,1,2020,andhra-pradesh
anantapur district,8466129,17864325753,1,2020,andhra-pradesh
ysr district,6031255,14059924637,1,2020,andhra-pradesh
west godavari district,5919670,12995834341,1,2020,andhra-pradesh
kurnool district,8246869,17022710312,1,2020,andhra-pradesh
chittoor district,13257740,23441848567,1,2020,andhra-pradesh
guntur district,11493331,22992734621,1,2020,andhra-pradesh
krishna district,12175289,24481702771,1,2020,andhra-pradesh
east godavari district,13130334,26319906327,2,2020,andhra-pradesh
srikakulam district,6425515,12153650077,2,2020,andhra-pradesh
spsr nellore district,9454274,20665376461,2,2020,andhra-pradesh
vizianagaram district,6690313,12819344390,2,2020,andhra-pradesh
visakhapatnam district,25300401,48293889917,2,2020,andhra-pradesh
prakasam district,8844580,19846026727,2,2020,andhra-pradesh
anantapur district,10473739,22094006659,2,2020,andhra-pradesh
ysr district,8033609,19597207268,2,2020,andhra-pradesh
west godavari district,7273096,16585866855,2,2020,andhra-pradesh
kurnool district,9821381,22419372062,2,2020,andhra-pradesh
chittoor district,14848197,27361300300,2,2020,andhra-pradesh
guntur district,12308707,27463593608,2,2020,andhra-pradesh
krishna district,12313709,26964149095,2,2020,andhra-pradesh
east godavari district,17972431,39300043805,3,2020,andhra-pradesh
srikakulam district,8286289,18029574581,3,2020,andhra-pradesh
spsr nellore district,16468209,39128324534,3,2020,andhra-pradesh
vizianagaram district,8236703,17567816577,3,2020,andhra-pradesh
visakhapatnam district,34421299,67628440368,3,2020,andhra-pradesh
prakasam district,12266310,31221704852,3,2020,andhra-pradesh
anantapur district,14447683,34102037973,3,2020,andhra-pradesh
ysr district,11934653,32037007334,3,2020,andhra-pradesh
west godavari district,10412351,25408608726,3,2020,andhra-pradesh
kurnool district,13243292,32529351107,3,2020,andhra-pradesh
chittoor district,20501863,42811566246,3,2020,andhra-pradesh
guntur district,17601395,42531195810,3,2020,andhra-pradesh
krishna district,19110457,44788458672,3,2020,andhra-pradesh
east godavari district,25989490,58732615663,4,2020,andhra-pradesh
srikakulam district,11092184,25222520275,4,2020,andhra-pradesh
spsr nellore district,20934374,49115443663,4,2020,andhra-pradesh
vizianagaram district,10580824,24094847668,4,2020,andhra-pradesh
visakhapatnam district,46551467,91879823025,4,2020,andhra-pradesh
prakasam district,16176867,41852443494,4,2020,andhra-pradesh
anantapur district,20996384,49732610814,4,2020,andhra-pradesh
ysr district,15676878,42572974713,4,2020,andhra-pradesh
west godavari district,15674762,40310975763,4,2020,andhra-pradesh
kurnool district,18737323,44718203115,4,2020,andhra-pradesh
chittoor district,29590411,61505711150,4,2020,andhra-pradesh
guntur district,26136538,60641872021,4,2020,andhra-pradesh
krishna district,27981050,64461504668,4,2020,andhra-pradesh
east godavari district,26190701,60027984988,1,2021,andhra-pradesh
srikakulam district,11160473,26486623313,1,2021,andhra-pradesh
spsr nellore district,22541428,52210333202,1,2021,andhra-pradesh
vizianagaram district,10514582,24153782497,1,2021,andhra-pradesh
visakhapatnam district,48248923,95308386038,1,2021,andhra-pradesh
prakasam district,15175395,41396223622,1,2021,andhra-pradesh
anantapur district,20102957,48353870395,1,2021,andhra-pradesh
ysr district,15374473,42570919449,1,2021,andhra-pradesh
west godavari district,16015685,42124030669,1,2021,andhra-pradesh
kurnool district,17918524,44941629660,1,2021,andhra-pradesh
chittoor district,29342609,60947491847,1,2021,andhra-pradesh
guntur district,27445045,64207987853,1,2021,andhra-pradesh
krishna district,29717175,69715406645,1,2021,andhra-pradesh
east godavari district,31717908,74604325864,2,2021,andhra-pradesh
srikakulam district,13546232,32298129545,2,2021,andhra-pradesh
spsr nellore district,30290406,72283071757,2,2021,andhra-pradesh
vizianagaram district,12689494,29140685237,2,2021,andhra-pradesh
visakhapatnam district,54390299,1.14439E+11,2,2021,andhra-pradesh
prakasam district,19944047,54535328043,2,2021,andhra-pradesh
anantapur district,25123346,60987487571,2,2021,andhra-pradesh
ysr district,18457361,52523527031,2,2021,andhra-pradesh
west godavari district,20950964,57233116236,2,2021,andhra-pradesh
kurnool district,21972396,56659287475,2,2021,andhra-pradesh
chittoor district,34344902,73654690122,2,2021,andhra-pradesh
guntur district,32968819,82356914464,2,2021,andhra-pradesh
krishna district,36370960,90021923050,2,2021,andhra-pradesh
east godavari district,39572714,89380370073,3,2021,andhra-pradesh
srikakulam district,15639768,34836400770,3,2021,andhra-pradesh
spsr nellore district,34411958,77839676988,3,2021,andhra-pradesh
vizianagaram district,14510005,31383541628,3,2021,andhra-pradesh
visakhapatnam district,69220981,1.36946E+11,3,2021,andhra-pradesh
prakasam district,24116580,63367713447,3,2021,andhra-pradesh
anantapur district,30366444,70291248156,3,2021,andhra-pradesh
ysr district,22439316,60683557725,3,2021,andhra-pradesh
west godavari district,26245039,66647238455,3,2021,andhra-pradesh
kurnool district,26377809,62527453762,3,2021,andhra-pradesh
chittoor district,42628568,89371931753,3,2021,andhra-pradesh
guntur district,41675093,96525353090,3,2021,andhra-pradesh
krishna district,44828275,1.04418E+11,3,2021,andhra-pradesh
east godavari district,48992531,1.06726E+11,4,2021,andhra-pradesh
srikakulam district,18501857,39713657870,4,2021,andhra-pradesh
spsr nellore district,41921081,92256405076,4,2021,andhra-pradesh
vizianagaram district,17253059,36577529465,4,2021,andhra-pradesh
visakhapatnam district,82711538,1.5953E+11,4,2021,andhra-pradesh
prakasam district,27858275,71323060008,4,2021,andhra-pradesh
anantapur district,36129136,81239787007,4,2021,andhra-pradesh
ysr district,26340348,69081850069,4,2021,andhra-pradesh
west godavari district,33235175,81292461575,4,2021,andhra-pradesh
kurnool district,31782248,73968947670,4,2021,andhra-pradesh
chittoor district,51119640,1.03986E+11,4,2021,andhra-pradesh
guntur district,50919286,1.15554E+11,4,2021,andhra-pradesh
krishna district,55489829,1.25015E+11,4,2021,andhra-pradesh
east godavari district,54738830,1.21067E+11,1,2022,andhra-pradesh
srikakulam district,20990782,46898912116,1,2022,andhra-pradesh
spsr nellore district,47645702,1.04896E+11,1,2022,andhra-pradesh
vizianagaram district,19278262,41994853362,1,2022,andhra-pradesh
visakhapatnam district,88233362,1.7012E+11,1,2022,andhra-pradesh
prakasam district,31340975,79494373255,1,2022,andhra-pradesh
anantapur district,40613148,90197023268,1,2022,andhra-pradesh
ysr district,29783739,78421693519,1,2022,andhra-pradesh
west godavari district,37271259,92397939904,1,2022,andhra-pradesh
kurnool district,35093633,81568420501,1,2022,andhra-pradesh
chittoor district,58561024,1.17901E+11,1,2022,andhra-pradesh
guntur district,57226996,1.29674E+11,1,2022,andhra-pradesh
krishna district,61826199,1.3969E+11,1,2022,andhra-pradesh
east godavari district,62072845,1.35531E+11,2,2022,andhra-pradesh
srikakulam district,23727353,53754764122,2,2022,andhra-pradesh
spsr nellore district,54838708,1.21941E+11,2,2022,andhra-pradesh
vizianagaram district,21766135,47294745020,2,2022,andhra-pradesh
visakhapatnam district,101387402,1.93243E+11,2,2022,andhra-pradesh
prakasam district,36163507,90435082546,2,2022,andhra-pradesh
anantapur district,46099366,1.02139E+11,2,2022,andhra-pradesh
ysr district,33154559,87601310070,2,2022,andhra-pradesh
west godavari district,44409239,1.07973E+11,2,2022,andhra-pradesh
kurnool district,40165692,92409350856,2,2022,andhra-pradesh
chittoor district,67507661,1.36435E+11,2,2022,andhra-pradesh
guntur district,66315749,1.47098E+11,2,2022,andhra-pradesh
krishna district,73525814,1.63998E+11,2,2022,andhra-pradesh
east godavari district,61467134,1.29678E+11,3,2022,andhra-pradesh
srikakulam district,22126541,46899962922,3,2022,andhra-pradesh
spsr nellore district,42116582,95099325968,3,2022,andhra-pradesh
vizianagaram district,20440645,42513313395,3,2022,andhra-pradesh
visakhapatnam district,97434546,1.81124E+11,3,2022,andhra-pradesh
prakasam district,35376080,87475230073,3,2022,andhra-pradesh
anantapur district,45165363,97735649608,3,2022,andhra-pradesh
ysr district,33119038,86016932181,3,2022,andhra-pradesh
west godavari district,43635951,1.01707E+11,3,2022,andhra-pradesh
kurnool district,39557913,88415335176,3,2022,andhra-pradesh
chittoor district,65751781,1.33054E+11,3,2022,andhra-pradesh
guntur district,65612317,1.41589E+11,3,2022,andhra-pradesh
krishna district,71051144,1.53771E+11,3,2022,andhra-pradesh
east godavari district,68016055,1.36531E+11,4,2022,andhra-pradesh
srikakulam district,23693779,47726411108,4,2022,andhra-pradesh
spsr nellore district,42582064,92085916181,4,2022,andhra-pradesh
vizianagaram district,22205190,44467386404,4,2022,andhra-pradesh
visakhapatnam district,103790055,1.85306E+11,4,2022,andhra-pradesh
prakasam district,37211077,88105031866,4,2022,andhra-pradesh
anantapur district,48299601,1.01534E+11,4,2022,andhra-pradesh
ysr district,35201596,87360426793,4,2022,andhra-pradesh
west godavari district,47919930,1.05336E+11,4,2022,andhra-pradesh
kurnool district,43524766,94667441029,4,2022,andhra-pradesh
chittoor district,70322534,1.36841E+11,4,2022,andhra-pradesh
guntur district,70723763,1.46939E+11,4,2022,andhra-pradesh
krishna district,76526667,1.57826E+11,4,2022,andhra-pradesh
lower dibang valley district,1356,1076236.814,1,2018,arunachal-pradesh
lower subansiri district,1477,3650727.894,1,2018,arunachal-pradesh
longding district,2321,4361531.578,1,2018,arunachal-pradesh
west siang district,1887,4796675.565,1,2018,arunachal-pradesh
kamle district,14,7971.330495,1,2018,arunachal-pradesh
upper siang district,126,186610.6699,1,2018,arunachal-pradesh
tirap district,945,1064265,1,2018,arunachal-pradesh
papum pare district,14224,32555848.46,1,2018,arunachal-pradesh
kurung kumey district,84,99416.58027,1,2018,arunachal-pradesh
siang district,252,339471.8043,1,2018,arunachal-pradesh
lower siang district,1292,2337960.715,1,2018,arunachal-pradesh
kra daadi district,207,495375.1455,1,2018,arunachal-pradesh
changlang district,3195,5380749.415,1,2018,arunachal-pradesh
anjaw district,0,0,1,2018,arunachal-pradesh
shi yomi district,0,0,1,2018,arunachal-pradesh
pakke kessang district,9,9131.404206,1,2018,arunachal-pradesh
dibang valley district,2,169.8885654,1,2018,arunachal-pradesh
west kameng district,5787,9540632.547,1,2018,arunachal-pradesh
east siang district,3286,5533620.186,1,2018,arunachal-pradesh
upper subansiri district,735,1358367.502,1,2018,arunachal-pradesh
east kameng district,529,473824.766,1,2018,arunachal-pradesh
lohit district,3747,11496949.55,1,2018,arunachal-pradesh
lepa rada district,288,403149.467,1,2018,arunachal-pradesh
tawang district,2334,5055665.023,1,2018,arunachal-pradesh
namsai district,1400,2162984.705,1,2018,arunachal-pradesh
lower dibang valley district,1827,2561237.506,2,2018,arunachal-pradesh
lower subansiri district,1666,4113742.044,2,2018,arunachal-pradesh
longding district,4634,10271170.17,2,2018,arunachal-pradesh
west siang district,2579,7610989.567,2,2018,arunachal-pradesh
kamle district,12,23654.05837,2,2018,arunachal-pradesh
upper siang district,240,494895.0928,2,2018,arunachal-pradesh
tirap district,1903,3126393.765,2,2018,arunachal-pradesh
shi yomi district,0,0,2,2018,arunachal-pradesh
papum pare district,25363,66520931.2,2,2018,arunachal-pradesh
kurung kumey district,83,123737.222,2,2018,arunachal-pradesh
anjaw district,7,7871.020815,2,2018,arunachal-pradesh
siang district,336,740232.631,2,2018,arunachal-pradesh
lower siang district,2292,2179451.658,2,2018,arunachal-pradesh
kra daadi district,247,987135.996,2,2018,arunachal-pradesh
changlang district,6066,13294258.5,2,2018,arunachal-pradesh
pakke kessang district,48,58359.57139,2,2018,arunachal-pradesh
dibang valley district,68,65769.20367,2,2018,arunachal-pradesh
west kameng district,10466,25521321.34,2,2018,arunachal-pradesh
east siang district,6363,15285584.2,2,2018,arunachal-pradesh
upper subansiri district,1285,2911910.369,2,2018,arunachal-pradesh
east kameng district,522,1825297.462,2,2018,arunachal-pradesh
lohit district,6962,20520618.88,2,2018,arunachal-pradesh
lepa rada district,511,731444.7371,2,2018,arunachal-pradesh
tawang district,5447,13722374.81,2,2018,arunachal-pradesh
namsai district,3230,6271811.328,2,2018,arunachal-pradesh
lower dibang valley district,2824,6074558.207,3,2018,arunachal-pradesh
lower subansiri district,2346,5154231.737,3,2018,arunachal-pradesh
longding district,5288,18327334.05,3,2018,arunachal-pradesh
west siang district,3337,12966152.79,3,2018,arunachal-pradesh
kamle district,93,30504.94301,3,2018,arunachal-pradesh
upper siang district,250,743956.1056,3,2018,arunachal-pradesh
tirap district,3322,7479257.008,3,2018,arunachal-pradesh
papum pare district,43282,101080479.3,3,2018,arunachal-pradesh
kurung kumey district,255,303027.4066,3,2018,arunachal-pradesh
anjaw district,13,95403.67678,3,2018,arunachal-pradesh
siang district,615,2141734.5,3,2018,arunachal-pradesh
lower siang district,2625,3045590.882,3,2018,arunachal-pradesh
shi yomi district,0,0,3,2018,arunachal-pradesh
kra daadi district,436,1606758.408,3,2018,arunachal-pradesh
changlang district,10162,20494174.95,3,2018,arunachal-pradesh
pakke kessang district,165,305164.8171,3,2018,arunachal-pradesh
dibang valley district,29,196466.667,3,2018,arunachal-pradesh
west kameng district,17026,48528147.45,3,2018,arunachal-pradesh
east siang district,10539,24885270.77,3,2018,arunachal-pradesh
upper subansiri district,1601,4223297.614,3,2018,arunachal-pradesh
east kameng district,1029,3132863.591,3,2018,arunachal-pradesh
lohit district,11595,32702331.66,3,2018,arunachal-pradesh
lepa rada district,523,1777602.437,3,2018,arunachal-pradesh
tawang district,8715,25733824.99,3,2018,arunachal-pradesh
namsai district,5076,10698272.77,3,2018,arunachal-pradesh
lower dibang valley district,4227,10951332.39,4,2018,arunachal-pradesh
lower subansiri district,3735,8884930.591,4,2018,arunachal-pradesh
longding district,6581,22545311.85,4,2018,arunachal-pradesh
west siang district,3813,14013986.24,4,2018,arunachal-pradesh
kamle district,247,361497.0568,4,2018,arunachal-pradesh
upper siang district,1041,2157332.947,4,2018,arunachal-pradesh
tirap district,5725,10811742.67,4,2018,arunachal-pradesh
papum pare district,55224,154875448.2,4,2018,arunachal-pradesh
kurung kumey district,444,759686.7196,4,2018,arunachal-pradesh
anjaw district,273,495578.1994,4,2018,arunachal-pradesh
siang district,822,2176630.237,4,2018,arunachal-pradesh
lower siang district,2883,4533291.201,4,2018,arunachal-pradesh
kra daadi district,750,3254327.442,4,2018,arunachal-pradesh
changlang district,13950,32343047.41,4,2018,arunachal-pradesh
pakke kessang district,297,462143.519,4,2018,arunachal-pradesh
dibang valley district,40,97205.28809,4,2018,arunachal-pradesh
west kameng district,25439,89194886.84,4,2018,arunachal-pradesh
shi yomi district,61,42483.80153,4,2018,arunachal-pradesh
east siang district,12893,34272134.34,4,2018,arunachal-pradesh
upper subansiri district,2686,8771042.08,4,2018,arunachal-pradesh
east kameng district,1750,5936855.71,4,2018,arunachal-pradesh
lohit district,14268,40510521.95,4,2018,arunachal-pradesh
lepa rada district,932,3023578.189,4,2018,arunachal-pradesh
tawang district,11104,35921510.89,4,2018,arunachal-pradesh
namsai district,7244,17643523.29,4,2018,arunachal-pradesh
lower dibang valley district,6314,13738776.18,1,2019,arunachal-pradesh
lower subansiri district,4994,12615032.12,1,2019,arunachal-pradesh
longding district,7287,25349462.06,1,2019,arunachal-pradesh
west siang district,5921,19426751.3,1,2019,arunachal-pradesh
kamle district,391,725807.1059,1,2019,arunachal-pradesh
upper siang district,1154,2756678.308,1,2019,arunachal-pradesh
tirap district,6877,14075747.84,1,2019,arunachal-pradesh
papum pare district,70941,188556716.4,1,2019,arunachal-pradesh
kurung kumey district,740,2076644.122,1,2019,arunachal-pradesh
anjaw district,2116,4643030.796,1,2019,arunachal-pradesh
siang district,1282,2552682.037,1,2019,arunachal-pradesh
lower siang district,3565,6923301.928,1,2019,arunachal-pradesh
kra daadi district,1070,3797175.484,1,2019,arunachal-pradesh
changlang district,17589,40239141.67,1,2019,arunachal-pradesh
pakke kessang district,545,1682922.837,1,2019,arunachal-pradesh
dibang valley district,102,301591.3864,1,2019,arunachal-pradesh
west kameng district,34289,101333633.7,1,2019,arunachal-pradesh
shi yomi district,19,212989.6305,1,2019,arunachal-pradesh
east siang district,15621,39284373.05,1,2019,arunachal-pradesh
upper subansiri district,3880,14105451.85,1,2019,arunachal-pradesh
east kameng district,2688,9107597.731,1,2019,arunachal-pradesh
lohit district,15896,42834776.78,1,2019,arunachal-pradesh
lepa rada district,1523,4054526.309,1,2019,arunachal-pradesh
tawang district,13102,39489779.14,1,2019,arunachal-pradesh
namsai district,8600,20065516.62,1,2019,arunachal-pradesh
lower dibang valley district,5819,13737167.75,2,2019,arunachal-pradesh
lower subansiri district,5579,14746949.65,2,2019,arunachal-pradesh
longding district,6744,23464027.89,2,2019,arunachal-pradesh
west siang district,8041,24549832.98,2,2019,arunachal-pradesh
kamle district,414,1136776.696,2,2019,arunachal-pradesh
upper siang district,1079,3993676.33,2,2019,arunachal-pradesh
tirap district,6868,18633793.43,2,2019,arunachal-pradesh
papum pare district,86433,246640891.3,2,2019,arunachal-pradesh
kurung kumey district,1427,4036511.934,2,2019,arunachal-pradesh
anjaw district,2473,5220589.921,2,2019,arunachal-pradesh
siang district,1654,5373179.352,2,2019,arunachal-pradesh
lower siang district,3791,7075961.239,2,2019,arunachal-pradesh
kra daadi district,1447,4315353.219,2,2019,arunachal-pradesh
