Mobile_Model_Name,Registered_Users,Share_Percentage_of_Mobile_Brand,Quarter,Year,State
Xiaomi,4576,0.246074425,1,2019,andaman-&-nicobar-islands
Samsung,3567,0.191815444,1,2019,andaman-&-nicobar-islands
Vivo,3420,0.183910518,1,2019,andaman-&-nicobar-islands
Oppo,1600,0.086040009,1,2019,andaman-&-nicobar-islands
Realme,897,0.04823618,1,2019,andaman-&-nicobar-islands
OnePlus,855,0.04597763,1,2019,andaman-&-nicobar-islands
Motorola,561,0.030167778,1,2019,andaman-&-nicobar-islands
Apple,515,0.027694128,1,2019,andaman-&-nicobar-islands
Huawei,515,0.027694128,1,2019,andaman-&-nicobar-islands
Lenovo,426,0.022908152,1,2019,andaman-&-nicobar-islands
Others,1664,0.089481609,1,2019,andaman-&-nicobar-islands
Xiaomi,5296,0.243707146,2,2019,andaman-&-nicobar-islands
Samsung,4165,0.191661681,2,2019,andaman-&-nicobar-islands
Vivo,4102,0.188762597,2,2019,andaman-&-nicobar-islands
Oppo,1905,0.087662786,2,2019,andaman-&-nicobar-islands
Realme,1012,0.046569417,2,2019,andaman-&-nicobar-islands
OnePlus,950,0.04371635,2,2019,andaman-&-nicobar-islands
Huawei,644,0.029635084,2,2019,andaman-&-nicobar-islands
Motorola,630,0.028990843,2,2019,andaman-&-nicobar-islands
Apple,569,0.026183793,2,2019,andaman-&-nicobar-islands
Lenovo,477,0.021950209,2,2019,andaman-&-nicobar-islands
Others,1981,0.091160094,2,2019,andaman-&-nicobar-islands
Xiaomi,5819,0.243157411,3,2019,andaman-&-nicobar-islands
Vivo,4685,0.195771175,3,2019,andaman-&-nicobar-islands
Samsung,4508,0.188374911,3,2019,andaman-&-nicobar-islands
Oppo,2108,0.088086582,3,2019,andaman-&-nicobar-islands
Realme,1158,0.048389119,3,2019,andaman-&-nicobar-islands
OnePlus,1045,0.04366721,3,2019,andaman-&-nicobar-islands
Huawei,725,0.030295433,3,2019,andaman-&-nicobar-islands
Motorola,660,0.02757929,3,2019,andaman-&-nicobar-islands
Apple,630,0.026325686,3,2019,andaman-&-nicobar-islands
Lenovo,483,0.020183026,3,2019,andaman-&-nicobar-islands
Others,2110,0.088170156,3,2019,andaman-&-nicobar-islands
Xiaomi,6259,0.241101695,4,2019,andaman-&-nicobar-islands
Vivo,5190,0.199922958,4,2019,andaman-&-nicobar-islands
Samsung,4900,0.188751926,4,2019,andaman-&-nicobar-islands
Oppo,2329,0.089714946,4,2019,andaman-&-nicobar-islands
Realme,1329,0.051194145,4,2019,andaman-&-nicobar-islands
OnePlus,1124,0.043297381,4,2019,andaman-&-nicobar-islands
Huawei,798,0.030739599,4,2019,andaman-&-nicobar-islands
Motorola,682,0.026271186,4,2019,andaman-&-nicobar-islands
Apple,678,0.026117103,4,2019,andaman-&-nicobar-islands
Lenovo,488,0.018798151,4,2019,andaman-&-nicobar-islands
Others,2183,0.084090909,4,2019,andaman-&-nicobar-islands
Xiaomi,6803,0.239812465,1,2020,andaman-&-nicobar-islands
Vivo,5880,0.207275804,1,2020,andaman-&-nicobar-islands
Samsung,5335,0.188064016,1,2020,andaman-&-nicobar-islands
Oppo,2557,0.090136774,1,2020,andaman-&-nicobar-islands
Realme,1511,0.053264241,1,2020,andaman-&-nicobar-islands
OnePlus,1184,0.041737169,1,2020,andaman-&-nicobar-islands
Huawei,891,0.031408629,1,2020,andaman-&-nicobar-islands
Apple,735,0.025909475,1,2020,andaman-&-nicobar-islands
Motorola,715,0.025204456,1,2020,andaman-&-nicobar-islands
Lenovo,500,0.017625494,1,2020,andaman-&-nicobar-islands
Others,2257,0.079561478,1,2020,andaman-&-nicobar-islands
Xiaomi,7805,0.238612045,2,2020,andaman-&-nicobar-islands
Vivo,7122,0.217731581,2,2020,andaman-&-nicobar-islands
Samsung,6030,0.184347294,2,2020,andaman-&-nicobar-islands
Oppo,2976,0.090981351,2,2020,andaman-&-nicobar-islands
Realme,1761,0.053836747,2,2020,andaman-&-nicobar-islands
OnePlus,1271,0.038856619,2,2020,andaman-&-nicobar-islands
Huawei,1005,0.030724549,2,2020,andaman-&-nicobar-islands
Apple,792,0.024212779,2,2020,andaman-&-nicobar-islands
Motorola,779,0.023815347,2,2020,andaman-&-nicobar-islands
Lenovo,552,0.016875573,2,2020,andaman-&-nicobar-islands
Others,2617,0.080006114,2,2020,andaman-&-nicobar-islands
Xiaomi,9794,0.236942059,3,2020,andaman-&-nicobar-islands
Vivo,9556,0.231184226,3,2020,andaman-&-nicobar-islands
Samsung,7572,0.183186162,3,2020,andaman-&-nicobar-islands
Oppo,3730,0.090238297,3,2020,andaman-&-nicobar-islands
Realme,2285,0.055280029,3,2020,andaman-&-nicobar-islands
OnePlus,1440,0.034837305,3,2020,andaman-&-nicobar-islands
Huawei,1213,0.029345591,3,2020,andaman-&-nicobar-islands
Motorola,907,0.021942664,3,2020,andaman-&-nicobar-islands
Apple,870,0.021047538,3,2020,andaman-&-nicobar-islands
Lenovo,606,0.014660699,3,2020,andaman-&-nicobar-islands
Others,3362,0.08133543,3,2020,andaman-&-nicobar-islands
Xiaomi,12398,0.236621116,4,2020,andaman-&-nicobar-islands
Vivo,12275,0.234273609,4,2020,andaman-&-nicobar-islands
Samsung,9938,0.189670967,4,2020,andaman-&-nicobar-islands
Oppo,4723,0.090140469,4,2020,andaman-&-nicobar-islands
Realme,2996,0.057179937,4,2020,andaman-&-nicobar-islands
OnePlus,1638,0.031261928,4,2020,andaman-&-nicobar-islands
Huawei,1472,0.028093748,4,2020,andaman-&-nicobar-islands
Motorola,1032,0.01969616,4,2020,andaman-&-nicobar-islands
Apple,973,0.01857012,4,2020,andaman-&-nicobar-islands
Lenovo,708,0.013512482,4,2020,andaman-&-nicobar-islands
Others,4243,0.080979464,4,2020,andaman-&-nicobar-islands
Vivo,13812,0.239135704,1,2021,andaman-&-nicobar-islands
Xiaomi,13714,0.237438969,1,2021,andaman-&-nicobar-islands
Samsung,10861,0.188043215,1,2021,andaman-&-nicobar-islands
Oppo,5158,0.089303646,1,2021,andaman-&-nicobar-islands
Realme,3419,0.059195263,1,2021,andaman-&-nicobar-islands
OnePlus,1773,0.030697046,1,2021,andaman-&-nicobar-islands
Huawei,1575,0.02726895,1,2021,andaman-&-nicobar-islands
Motorola,1062,0.018387063,1,2021,andaman-&-nicobar-islands
Apple,1056,0.018283182,1,2021,andaman-&-nicobar-islands
Tecno,796,0.013781641,1,2021,andaman-&-nicobar-islands
Others,4532,0.078465321,1,2021,andaman-&-nicobar-islands
Vivo,15056,0.242467187,2,2021,andaman-&-nicobar-islands
Xiaomi,14788,0.23815122,2,2021,andaman-&-nicobar-islands
Samsung,11476,0.184813592,2,2021,andaman-&-nicobar-islands
Oppo,5456,0.087865368,2,2021,andaman-&-nicobar-islands
Realme,4034,0.064964973,2,2021,andaman-&-nicobar-islands
OnePlus,1981,0.03190273,2,2021,andaman-&-nicobar-islands
Huawei,1559,0.025106691,2,2021,andaman-&-nicobar-islands
Apple,1153,0.018568323,2,2021,andaman-&-nicobar-islands
Motorola,1054,0.016973991,2,2021,andaman-&-nicobar-islands
Tecno,974,0.015685643,2,2021,andaman-&-nicobar-islands
Others,4564,0.073500282,2,2021,andaman-&-nicobar-islands
Vivo,16411,0.245006121,3,2021,andaman-&-nicobar-islands
Xiaomi,15938,0.237944522,3,2021,andaman-&-nicobar-islands
Samsung,12028,0.179570631,3,2021,andaman-&-nicobar-islands
Oppo,5853,0.087381685,3,2021,andaman-&-nicobar-islands
Realme,4808,0.071780478,3,2021,andaman-&-nicobar-islands
OnePlus,2306,0.03442716,3,2021,andaman-&-nicobar-islands
Huawei,1567,0.023394345,3,2021,andaman-&-nicobar-islands
Apple,1283,0.0191544,3,2021,andaman-&-nicobar-islands
Tecno,1178,0.017586814,3,2021,andaman-&-nicobar-islands
Motorola,1017,0.015183184,3,2021,andaman-&-nicobar-islands
Others,4593,0.068570661,3,2021,andaman-&-nicobar-islands
Vivo,17597,0.245151853,4,2021,andaman-&-nicobar-islands
Xiaomi,16968,0.236388966,4,2021,andaman-&-nicobar-islands
Samsung,12574,0.175174143,4,2021,andaman-&-nicobar-islands
Oppo,6127,0.085358038,4,2021,andaman-&-nicobar-islands
Realme,5830,0.081220396,4,2021,andaman-&-nicobar-islands
OnePlus,2691,0.037489551,4,2021,andaman-&-nicobar-islands
Apple,1490,0.020757871,4,2021,andaman-&-nicobar-islands
Huawei,1459,0.020325996,4,2021,andaman-&-nicobar-islands
Tecno,1417,0.019740875,4,2021,andaman-&-nicobar-islands
Motorola,1055,0.014697687,4,2021,andaman-&-nicobar-islands
Others,4572,0.063694622,4,2021,andaman-&-nicobar-islands
Vivo,18688,0.244966443,1,2022,andaman-&-nicobar-islands
Xiaomi,17957,0.235384333,1,2022,andaman-&-nicobar-islands
Samsung,12955,0.169817009,1,2022,andaman-&-nicobar-islands
Realme,6769,0.088729551,1,2022,andaman-&-nicobar-islands
Oppo,6461,0.084692219,1,2022,andaman-&-nicobar-islands
OnePlus,3005,0.039390206,1,2022,andaman-&-nicobar-islands
Tecno,1770,0.023201552,1,2022,andaman-&-nicobar-islands
Apple,1634,0.021418834,1,2022,andaman-&-nicobar-islands
Huawei,1441,0.018888947,1,2022,andaman-&-nicobar-islands
Motorola,1050,0.013763633,1,2022,andaman-&-nicobar-islands
Others,4558,0.059747273,1,2022,andaman-&-nicobar-islands
Xiaomi,836581,0.250739858,1,2018,andhra-pradesh
Samsung,683687,0.204914505,1,2018,andhra-pradesh
Vivo,425959,0.12766833,1,2018,andhra-pradesh
Oppo,304487,0.091260771,1,2018,andhra-pradesh
Realme,236646,0.070927483,1,2018,andhra-pradesh
Motorola,129739,0.038885342,1,2018,andhra-pradesh
OnePlus,129421,0.038790031,1,2018,andhra-pradesh
Apple,123274,0.036947654,1,2018,andhra-pradesh
Lenovo,84138,0.025217821,1,2018,andhra-pradesh
Huawei,76654,0.022974719,1,2018,andhra-pradesh
Others,305864,0.091673485,1,2018,andhra-pradesh
Xiaomi,1113800,0.252990319,2,2018,andhra-pradesh
Samsung,903290,0.20517474,2,2018,andhra-pradesh
Vivo,586965,0.133324172,2,2018,andhra-pradesh
Oppo,410549,0.093252759,2,2018,andhra-pradesh
Realme,305964,0.069497154,2,2018,andhra-pradesh
Motorola,169847,0.03857932,2,2018,andhra-pradesh
OnePlus,155418,0.035301894,2,2018,andhra-pradesh
Apple,151847,0.034490771,2,2018,andhra-pradesh
Lenovo,107441,0.024404321,2,2018,andhra-pradesh
Huawei,102929,0.023379458,2,2018,andhra-pradesh
Others,394490,0.089605092,2,2018,andhra-pradesh
Xiaomi,1385112,0.255197078,3,2018,andhra-pradesh
Samsung,1103186,0.203254209,3,2018,andhra-pradesh
Vivo,761793,0.140354966,3,2018,andhra-pradesh
Oppo,518120,0.095459941,3,2018,andhra-pradesh
Realme,379712,0.069959247,3,2018,andhra-pradesh
Motorola,203756,0.0375406,3,2018,andhra-pradesh
OnePlus,181364,0.033415033,3,2018,andhra-pradesh
Apple,175343,0.032305706,3,2018,andhra-pradesh
Huawei,134429,0.024767591,3,2018,andhra-pradesh
Lenovo,122489,0.022567731,3,2018,andhra-pradesh
Others,462313,0.085177897,3,2018,andhra-pradesh
Xiaomi,1753802,0.255752865,4,2018,andhra-pradesh
Samsung,1388061,0.202417706,4,2018,andhra-pradesh
Vivo,1011185,0.147458756,4,2018,andhra-pradesh
Oppo,675093,0.098447242,4,2018,andhra-pradesh
Realme,476746,0.06952276,4,2018,andhra-pradesh
Motorola,250601,0.036544561,4,2018,andhra-pradesh
OnePlus,210161,0.03064729,4,2018,andhra-pradesh
Apple,209737,0.030585459,4,2018,andhra-pradesh
Huawei,176237,0.025700232,4,2018,andhra-pradesh
Lenovo,149583,0.021813341,4,2018,andhra-pradesh
Others,556203,0.081109789,4,2018,andhra-pradesh
Xiaomi,2110547,0.254804076,1,2019,andhra-pradesh
Samsung,1688342,0.203831719,1,2019,andhra-pradesh
Vivo,1262871,0.152465061,1,2019,andhra-pradesh
Oppo,835541,0.100873969,1,2019,andhra-pradesh
Realme,564832,0.068191562,1,2019,andhra-pradesh
Motorola,291830,0.035232323,1,2019,andhra-pradesh
Apple,241108,0.02910871,1,2019,andhra-pradesh
OnePlus,237269,0.028645232,1,2019,andhra-pradesh
Huawei,220082,0.026570264,1,2019,andhra-pradesh
Lenovo,171471,0.02070151,1,2019,andhra-pradesh
Others,659126,0.079575575,1,2019,andhra-pradesh
Xiaomi,2389374,0.254486445,2,2019,andhra-pradesh
Samsung,1914378,0.20389577,2,2019,andhra-pradesh
Vivo,1466695,0.156214137,2,2019,andhra-pradesh
Oppo,963352,0.102604291,2,2019,andhra-pradesh
Realme,641519,0.068326637,2,2019,andhra-pradesh
Motorola,324778,0.034591319,2,2019,andhra-pradesh
Apple,264860,0.028209598,2,2019,andhra-pradesh
OnePlus,254273,0.027082002,2,2019,andhra-pradesh
Huawei,250859,0.026718385,2,2019,andhra-pradesh
Lenovo,189151,0.020146016,2,2019,andhra-pradesh
Others,729764,0.077725399,2,2019,andhra-pradesh
Xiaomi,2656468,0.253996173,3,2019,andhra-pradesh
Samsung,2123659,0.203052045,3,2019,andhra-pradesh
Vivo,1674109,0.160068662,3,2019,andhra-pradesh
Oppo,1087660,0.103995786,3,2019,andhra-pradesh
Realme,727964,0.069603726,3,2019,andhra-pradesh
Motorola,348910,0.033360765,3,2019,andhra-pradesh
Apple,286412,0.027385066,3,2019,andhra-pradesh
Huawei,282587,0.027019342,3,2019,andhra-pradesh
OnePlus,271100,0.025921021,3,2019,andhra-pradesh
Lenovo,194180,0.018566373,3,2019,andhra-pradesh
Others,805644,0.07703104,3,2019,andhra-pradesh
Xiaomi,2985953,0.253953284,4,2019,andhra-pradesh
Samsung,2379139,0.202344163,4,2019,andhra-pradesh
Vivo,1922141,0.163476793,4,2019,andhra-pradesh
Oppo,1241235,0.105566198,4,2019,andhra-pradesh
Realme,844668,0.071838442,4,2019,andhra-pradesh
Motorola,381692,0.032462647,4,2019,andhra-pradesh
Huawei,317290,0.0269853,4,2019,andhra-pradesh
Apple,308354,0.026225299,4,2019,andhra-pradesh
OnePlus,286412,0.024359147,4,2019,andhra-pradesh
Lenovo,208785,0.017757023,4,2019,andhra-pradesh
Others,882214,0.075031704,4,2019,andhra-pradesh
Xiaomi,3307542,0.253995297,1,2020,andhra-pradesh
Samsung,2622762,0.201409147,1,2020,andhra-pradesh
Vivo,2165012,0.166257259,1,2020,andhra-pradesh
Oppo,1387060,0.106516173,1,2020,andhra-pradesh
Realme,960418,0.073753154,1,2020,andhra-pradesh
Motorola,411062,0.031566588,1,2020,andhra-pradesh
Huawei,348324,0.026748763,1,2020,andhra-pradesh
Apple,329329,0.025290085,1,2020,andhra-pradesh
OnePlus,298911,0.022954202,1,2020,andhra-pradesh
Lenovo,227154,0.017443784,1,2020,andhra-pradesh
Others,964486,0.074065547,1,2020,andhra-pradesh
Xiaomi,3635594,0.253888025,2,2020,andhra-pradesh
Samsung,2888149,0.20169096,2,2020,andhra-pradesh
Vivo,2409399,0.168257939,2,2020,andhra-pradesh
Oppo,1535129,0.107204179,2,2020,andhra-pradesh
Realme,1072165,0.074873557,2,2020,andhra-pradesh
Motorola,445380,0.031102661,2,2020,andhra-pradesh
Huawei,379220,0.026482445,2,2020,andhra-pradesh
Apple,348938,0.024367732,2,2020,andhra-pradesh
OnePlus,309208,0.021593227,2,2020,andhra-pradesh
Lenovo,243288,0.016989771,2,2020,andhra-pradesh
Others,1053205,0.073549504,2,2020,andhra-pradesh
Xiaomi,3978789,0.253548707,3,2020,andhra-pradesh
Samsung,3154020,0.200990224,3,2020,andhra-pradesh
Vivo,2687996,0.171292801,3,2020,andhra-pradesh
Oppo,1695723,0.108060109,3,2020,andhra-pradesh
Realme,1207622,0.076955827,3,2020,andhra-pradesh
Motorola,477313,0.030416816,3,2020,andhra-pradesh
Huawei,408520,0.026032976,3,2020,andhra-pradesh
Apple,370327,0.023599123,3,2020,andhra-pradesh
OnePlus,322028,0.020521265,3,2020,andhra-pradesh
Lenovo,260912,0.016626642,3,2020,andhra-pradesh
Others,1129155,0.07195551,3,2020,andhra-pradesh
Xiaomi,4325662,0.253309843,4,2020,andhra-pradesh
Samsung,3419866,0.200266623,4,2020,andhra-pradesh
Vivo,2950572,0.172784866,4,2020,andhra-pradesh
Oppo,1856052,0.108690009,4,2020,andhra-pradesh
Realme,1361491,0.079728622,4,2020,andhra-pradesh
Motorola,506158,0.029640504,4,2020,andhra-pradesh
Huawei,437125,0.025597947,4,2020,andhra-pradesh
Apple,394191,0.023083741,4,2020,andhra-pradesh
OnePlus,336518,0.019706422,4,2020,andhra-pradesh
Lenovo,276671,0.016201795,4,2020,andhra-pradesh
Others,1212259,0.070989628,4,2020,andhra-pradesh
Xiaomi,4644641,0.252924664,1,2021,andhra-pradesh
Samsung,3635596,0.197976958,1,2021,andhra-pradesh
Vivo,3245151,0.176715214,1,2021,andhra-pradesh
Oppo,2010506,0.109482424,1,2021,andhra-pradesh
Realme,1531645,0.083405972,1,2021,andhra-pradesh
Motorola,518115,0.028214035,1,2021,andhra-pradesh
Huawei,455604,0.024809988,1,2021,andhra-pradesh
Apple,421002,0.022925731,1,2021,andhra-pradesh
OnePlus,355922,0.019381789,1,2021,andhra-pradesh
Lenovo,277980,0.015137445,1,2021,andhra-pradesh
Others,1267571,0.06902578,1,2021,andhra-pradesh
Xiaomi,4937684,0.251654243,2,2021,andhra-pradesh
Samsung,3798250,0.193581795,2,2021,andhra-pradesh
Vivo,3572140,0.182057861,2,2021,andhra-pradesh
Oppo,2173037,0.11075111,2,2021,andhra-pradesh
Realme,1817804,0.092646287,2,2021,andhra-pradesh
Motorola,503072,0.025639592,2,2021,andhra-pradesh
Apple,450689,0.022969838,2,2021,andhra-pradesh
Huawei,440324,0.022441574,2,2021,andhra-pradesh
OnePlus,394851,0.020123995,2,2021,andhra-pradesh
Lenovo,261201,0.013312383,2,2021,andhra-pradesh
Others,1271853,0.064821322,2,2021,andhra-pradesh
Xiaomi,5256707,0.249607429,3,2021,andhra-pradesh
Vivo,3981492,0.189055617,3,2021,andhra-pradesh
Samsung,3911188,0.185717329,3,2021,andhra-pradesh
Oppo,2382363,0.113123197,3,2021,andhra-pradesh
Realme,2134616,0.101359275,3,2021,andhra-pradesh
Motorola,486971,0.023123141,3,2021,andhra-pradesh
Apple,480993,0.022839284,3,2021,andhra-pradesh
OnePlus,459011,0.0217955,3,2021,andhra-pradesh
Huawei,435214,0.020665532,3,2021,andhra-pradesh
Lenovo,245241,0.011644928,3,2021,andhra-pradesh
Others,1286102,0.061068767,3,2021,andhra-pradesh
Xiaomi,5518238,0.245374667,4,2021,andhra-pradesh
Vivo,4381023,0.194807121,4,2021,andhra-pradesh
Samsung,4017419,0.17863906,4,2021,andhra-pradesh
Oppo,2580845,0.114760179,4,2021,andhra-pradesh
Realme,2528884,0.112449675,4,2021,andhra-pradesh
Apple,544986,0.024233416,4,2021,andhra-pradesh
OnePlus,525373,0.023361302,4,2021,andhra-pradesh
Motorola,474422,0.021095708,4,2021,andhra-pradesh
Huawei,409934,0.018228177,4,2021,andhra-pradesh
Lenovo,224391,0.009977799,4,2021,andhra-pradesh
Others,1283514,0.057072895,4,2021,andhra-pradesh
Xiaomi,5743382,0.240732408,1,2022,andhra-pradesh
Vivo,4772765,0.200049241,1,2022,andhra-pradesh
Samsung,4124296,0.172868827,1,2022,andhra-pradesh
Realme,2864092,0.120047694,1,2022,andhra-pradesh
Oppo,2780974,0.116563824,1,2022,andhra-pradesh
Apple,594003,0.024897486,1,2022,andhra-pradesh
OnePlus,580737,0.024341445,1,2022,andhra-pradesh
Motorola,463652,0.019433857,1,2022,andhra-pradesh
Huawei,401477,0.016827807,1,2022,andhra-pradesh
Lenovo,222586,0.009329636,1,2022,andhra-pradesh
Others,1309987,0.054907775,1,2022,andhra-pradesh
Xiaomi,5212,0.242474994,1,2018,arunachal-pradesh
Samsung,4354,0.202558735,1,2018,arunachal-pradesh
Vivo,3523,0.163898581,1,2018,arunachal-pradesh
Oppo,2608,0.121330542,1,2018,arunachal-pradesh
Realme,1297,0.060339614,1,2018,arunachal-pradesh
Apple,628,0.029216097,1,2018,arunachal-pradesh
Gionee,563,0.026192138,1,2018,arunachal-pradesh
Lenovo,420,0.019539428,1,2018,arunachal-pradesh
OnePlus,403,0.018748546,1,2018,arunachal-pradesh
Motorola,343,0.015957199,1,2018,arunachal-pradesh
Others,2144,0.099744127,1,2018,arunachal-pradesh
Xiaomi,8058,0.245050634,2,2018,arunachal-pradesh
Samsung,6633,0.201715172,2,2018,arunachal-pradesh
Vivo,5591,0.170027066,2,2018,arunachal-pradesh
Oppo,4204,0.127847216,2,2018,arunachal-pradesh
Realme,1943,0.059088283,2,2018,arunachal-pradesh
Apple,869,0.026427029,2,2018,arunachal-pradesh
Gionee,730,0.022199921,2,2018,arunachal-pradesh
Lenovo,581,0.017668704,2,2018,arunachal-pradesh
OnePlus,554,0.016847611,2,2018,arunachal-pradesh
Motorola,514,0.015631177,2,2018,arunachal-pradesh
Others,3206,0.097497187,2,2018,arunachal-pradesh
Xiaomi,11250,0.244980619,3,2018,arunachal-pradesh
Samsung,9307,0.202669744,3,2018,arunachal-pradesh
Vivo,8226,0.179129829,3,2018,arunachal-pradesh
Oppo,5992,0.130482122,3,2018,arunachal-pradesh
Realme,2676,0.058272723,3,2018,arunachal-pradesh
Apple,1153,0.025107791,3,2018,arunachal-pradesh
Gionee,1024,0.02229868,3,2018,arunachal-pradesh
OnePlus,740,0.016114281,3,2018,arunachal-pradesh
Motorola,722,0.015722312,3,2018,arunachal-pradesh
Lenovo,629,0.013697139,3,2018,arunachal-pradesh
Others,4203,0.091524759,3,2018,arunachal-pradesh
Xiaomi,15097,0.244082649,4,2018,arunachal-pradesh
Samsung,12580,0.203388734,4,2018,arunachal-pradesh
Vivo,11624,0.187932484,4,2018,arunachal-pradesh
Oppo,8328,0.134643989,4,2018,arunachal-pradesh
Realme,3613,0.058413633,4,2018,arunachal-pradesh
Apple,1517,0.024526289,4,2018,arunachal-pradesh
Gionee,1188,0.01920714,4,2018,arunachal-pradesh
Motorola,944,0.015262239,4,2018,arunachal-pradesh
OnePlus,896,0.014486193,4,2018,arunachal-pradesh
Lenovo,831,0.013435297,4,2018,arunachal-pradesh
Others,5234,0.084621354,4,2018,arunachal-pradesh
Xiaomi,18809,0.244409216,1,2019,arunachal-pradesh
Samsung,15537,0.201891966,1,2019,arunachal-pradesh
Vivo,14892,0.193510662,1,2019,arunachal-pradesh
Oppo,10738,0.139532466,1,2019,arunachal-pradesh
Realme,4413,0.057343711,1,2019,arunachal-pradesh
Apple,1870,0.024299284,1,2019,arunachal-pradesh
Gionee,1310,0.017022493,1,2019,arunachal-pradesh
Motorola,1137,0.014774484,1,2019,arunachal-pradesh
OnePlus,1114,0.014475616,1,2019,arunachal-pradesh
Huawei,972,0.01263043,1,2019,arunachal-pradesh
Others,6165,0.080109672,1,2019,arunachal-pradesh
Xiaomi,23326,0.243270585,2,2019,arunachal-pradesh
Samsung,19719,0.205652605,2,2019,arunachal-pradesh
Vivo,18958,0.197716014,2,2019,arunachal-pradesh
Oppo,13678,0.14265005,2,2019,arunachal-pradesh
Realme,5425,0.056578193,2,2019,arunachal-pradesh
Apple,2169,0.022620848,2,2019,arunachal-pradesh
Gionee,1608,0.016770089,2,2019,arunachal-pradesh
Motorola,1404,0.014642541,2,2019,arunachal-pradesh
OnePlus,1251,0.013046879,2,2019,arunachal-pradesh
Huawei,1175,0.012254263,2,2019,arunachal-pradesh
Others,7172,0.074797935,2,2019,arunachal-pradesh
Xiaomi,27394,0.244264327,3,2019,arunachal-pradesh
Vivo,22731,0.202685713,3,2019,arunachal-pradesh
Samsung,22720,0.202587629,3,2019,arunachal-pradesh
Oppo,16262,0.145003522,3,2019,arunachal-pradesh
Realme,6477,0.057753524,3,2019,arunachal-pradesh
Apple,2509,0.022372023,3,2019,arunachal-pradesh
Gionee,1800,0.016050076,3,2019,arunachal-pradesh
Motorola,1561,0.013918983,3,2019,arunachal-pradesh
OnePlus,1390,0.012394226,3,2019,arunachal-pradesh
Huawei,1377,0.012278308,3,2019,arunachal-pradesh
Others,7928,0.070691669,3,2019,arunachal-pradesh
Xiaomi,31369,0.242566946,4,2019,arunachal-pradesh
Vivo,26787,0.207135732,4,2019,arunachal-pradesh
Samsung,26087,0.201722845,4,2019,arunachal-pradesh
Oppo,19208,0.148529628,4,2019,arunachal-pradesh
Realme,7743,0.059874266,4,2019,arunachal-pradesh
Apple,2811,0.021736609,4,2019,arunachal-pradesh
Gionee,1983,0.015333936,4,2019,arunachal-pradesh
Motorola,1637,0.012658424,4,2019,arunachal-pradesh
Huawei,1581,0.012225393,4,2019,arunachal-pradesh
